taxonRank,kingdom,family,scientificName
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Anas superciliosa
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Anas zonorhyncha
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Aythya nyroca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Cairina moschata
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Mareca sibilatrix
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Mareca strepera
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Netta rufina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anatinae x
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Anser anser
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Anser erythropus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Anser fabalis/serrirostris
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Branta canadensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser albifrons x Branta ruficollis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser forma domestica x Anser indicus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser forma domestica x Branta canadensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser forma domestica x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Anser caerulescens
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Anser cygnoides
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Anser erythropus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Anser indicus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Anser serrirostris
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Branta canadensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser caerulescens x Anser canagicus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser caerulescens x Anser indicus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser cygnoides x Anser indicus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser erythropus x Anser canagica
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser erythropus x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser indicus x Anser canagica
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser indicus x Branta canadensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser indicus x Branta leucopsis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser rossi x Anser erythropus
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser rossii x Anser caerulescens
